filepath,label,generator
data/fake_images/fake_image_2074.png,fake,IF
data/real_images/real_image_11617.jpg,real,real
data/real_images/real_image_775.jpg,real,real
data/fake_images/fake_image_7408.png,fake,SSD_1B
data/real_images/real_image_10725.jpg,real,real
data/real_images/real_image_5091.jpg,real,real
data/real_images/real_image_10458.jpg,real,real
data/fake_images/fake_image_6056.png,fake,SD_Cascade
data/real_images/real_image_11682.jpg,real,real
data/real_images/real_image_8911.jpg,real,real
data/fake_images/fake_image_6602.png,fake,SDXL_Lightning
data/real_images/real_image_11502.jpg,real,real
data/fake_images/fake_image_1916.png,fake,IF
data/real_images/real_image_8855.jpg,real,real
data/fake_images/fake_image_3454.png,fake,LCM_SSD_1B
data/real_images/real_image_8430.jpg,real,real
data/real_images/real_image_1353.jpg,real,real
data/real_images/real_image_13087.jpg,real,real
data/real_images/real_image_9364.jpg,real,real
data/fake_images/fake_image_3770.png,fake,Lumina
data/real_images/real_image_2897.jpg,real,real
data/real_images/real_image_7691.jpg,real,real
data/real_images/real_image_4345.jpg,real,real
data/real_images/real_image_6661.jpg,real,real
data/real_images/real_image_2569.jpg,real,real
data/real_images/real_image_10778.jpg,real,real
data/fake_images/fake_image_1877.png,fake,IF
data/real_images/real_image_11288.jpg,real,real
data/real_images/real_image_1158.jpg,real,real
data/real_images/real_image_929.jpg,real,real
data/fake_images/fake_image_3493.png,fake,LCM_SSD_1B
data/real_images/real_image_7729.jpg,real,real
data/real_images/real_image_3719.jpg,real,real
data/fake_images/fake_image_7222.png,fake,SSD_1B
data/real_images/real_image_2292.jpg,real,real
data/fake_images/fake_image_7403.png,fake,SSD_1B
data/real_images/real_image_359.jpg,real,real
data/fake_images/fake_image_6065.png,fake,SD_Cascade
data/fake_images/fake_image_5430.png,fake,SD_2.1
data/fake_images/fake_image_4686.png,fake,PixArt_Sigma
data/real_images/real_image_1444.jpg,real,real
data/real_images/real_image_6363.jpg,real,real
data/real_images/real_image_10509.jpg,real,real
data/fake_images/fake_image_3762.png,fake,Lumina
data/real_images/real_image_4542.jpg,real,real
data/fake_images/fake_image_2418.png,fake,Kandinsky
data/real_images/real_image_3354.jpg,real,real
data/real_images/real_image_5851.jpg,real,real
data/real_images/real_image_6726.jpg,real,real
data/real_images/real_image_8645.jpg,real,real
data/real_images/real_image_8116.jpg,real,real
data/real_images/real_image_6355.jpg,real,real
data/fake_images/fake_image_108.png,fake,Flash_PixArt
data/real_images/real_image_3660.jpg,real,real
data/real_images/real_image_6703.jpg,real,real
data/real_images/real_image_4494.jpg,real,real
data/real_images/real_image_12220.jpg,real,real
data/real_images/real_image_3306.jpg,real,real
data/real_images/real_image_4285.jpg,real,real
data/real_images/real_image_8981.jpg,real,real
data/real_images/real_image_9757.jpg,real,real
data/real_images/real_image_11055.jpg,real,real
data/fake_images/fake_image_769.png,fake,Flash_SD
data/real_images/real_image_6975.jpg,real,real
data/fake_images/fake_image_2758.png,fake,Kolors
data/fake_images/fake_image_5341.png,fake,SD_1.5
data/fake_images/fake_image_693.png,fake,Flash_SD
data/real_images/real_image_654.jpg,real,real
data/fake_images/fake_image_5980.png,fake,SD_3
data/real_images/real_image_6618.jpg,real,real
data/fake_images/fake_image_4605.png,fake,PixArt_Sigma
data/real_images/real_image_8526.jpg,real,real
